ID,사고일시,요일,기상상태,시군구,도로형태,노면상태,사고유형,사고유형 - 세부분류,법규위반,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,사망자수,중상자수,경상자수,부상자수,사고위험도
ACCIDENT_00000,2019-01-01 00,화요일,맑음,대구광역시 중구 대신동,단일로 - 기타,건조,차대사람,길가장자리구역통행중,안전운전불이행,승용,여,51세,상해없음,보행자,여,70세,중상,0,1,0,0,5
ACCIDENT_00001,2019-01-01 00,화요일,흐림,대구광역시 달서구 감삼동,단일로 - 기타,건조,차대사람,보도통행중,기타,승용,남,39세,상해없음,보행자,남,61세,경상,0,0,1,0,3
ACCIDENT_00002,2019-01-01 01,화요일,맑음,대구광역시 수성구 두산동,단일로 - 기타,건조,차대사람,차도통행중,안전운전불이행,승용,남,70세,상해없음,보행자,남,38세,경상,0,0,1,0,3
ACCIDENT_00003,2019-01-01 02,화요일,맑음,대구광역시 북구 복현동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,남,49세,상해없음,승용,남,36세,중상,0,1,0,0,5
ACCIDENT_00004,2019-01-01 04,화요일,맑음,대구광역시 동구 신암동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,남,30세,상해없음,승용,남,52세,경상,0,0,1,0,3
ACCIDENT_00005,2019-01-01 04,화요일,맑음,대구광역시 달서구 감삼동,단일로 - 기타,건조,차대차,측면충돌,안전운전불이행,승합,남,52세,상해없음,승용,남,35세,경상,0,0,2,0,6
ACCIDENT_00006,2019-01-01 05,화요일,맑음,대구광역시 수성구 지산동,교차로 - 교차로안,건조,차대차,측면충돌,교차로운행방법위반,승용,남,61세,경상,승용,남,76세,경상,0,0,6,0,18
ACCIDENT_00007,2019-01-01 06,화요일,흐림,대구광역시 달서구 상인동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,남,68세,상해없음,승용,남,53세,경상,0,0,1,0,3
ACCIDENT_00008,2019-01-01 06,화요일,맑음,대구광역시 북구 태전동,기타 - 기타,건조,차대차,기타,안전운전불이행,승용,남,49세,상해없음,자전거,남,62세,중상,0,1,0,0,5
ACCIDENT_00009,2019-01-01 10,화요일,맑음,대구광역시 동구 지묘동,단일로 - 터널,건조,차대차,기타,신호위반,승용,남,66세,상해없음,승용,여,42세,경상,0,0,3,0,9
ACCIDENT_00010,2019-01-01 11,화요일,맑음,대구광역시 서구 평리동,단일로 - 기타,건조,차대차,측면충돌,기타,승용,남,62세,상해없음,승합,남,60세,중상,0,1,0,0,5
ACCIDENT_00011,2019-01-01 14,화요일,맑음,대구광역시 동구 신기동,교차로 - 교차로안,건조,차대차,기타,안전운전불이행,기타불명,기타불명,미분류,기타불명,자전거,남,69세,경상,0,0,1,0,3
ACCIDENT_00012,2019-01-01 14,화요일,맑음,대구광역시 서구 상리동,단일로 - 지하차도(도로)내,건조,차대차,측면충돌,안전운전불이행,화물,남,56세,상해없음,승용,여,31세,중상,0,1,0,0,5
ACCIDENT_00013,2019-01-01 18,화요일,맑음,대구광역시 달서구 월성동,단일로 - 기타,건조,차대차,추돌,안전운전불이행,승용,여,64세,상해없음,승용,여,23세,상해없음,0,1,0,0,5
ACCIDENT_00014,2019-01-01 19,화요일,맑음,대구광역시 수성구 황금동,단일로 - 교량,건조,차량단독,공작물충돌,안전운전불이행,승용,여,46세,중상,,,,,0,1,1,0,8
ACCIDENT_00015,2019-01-01 19,화요일,맑음,대구광역시 북구 구암동,교차로 - 교차로횡단보도내,건조,차대사람,횡단중,신호위반,승용,남,74세,상해없음,보행자,남,57세,경상,0,0,1,0,3
ACCIDENT_00016,2019-01-01 20,화요일,맑음,대구광역시 동구 신천동,기타 - 기타,건조,차대차,측면충돌,안전운전불이행,승용,남,28세,상해없음,이륜,남,17세,경상,0,0,1,0,3
